ResponseId,What is your age range?,What is your gender?,"What is your approximate total household investable assets? (includes checking, savings, or money market accounts and investments – excludes your primary residence and employer-sponsored retirement accounts)",Which of the following best describes your level of comfort using technology?,What is your usual method for contacting a company? - Selected Choice,What is your usual method for contacting a company? - Other - Text,"How often do you call companies for customer service (ie support, issue, order)?",Why do you typically call customer service or a company phone number? - Selected Choice,Why do you typically call customer service or a company phone number? - Other - Text,"When you call a company, do you prefer to speak to a live agent or use an voice assistant?",How would you rate your overall experience with virtual assistants when calling a company or customer service line?,"In the past, when speaking with virtual assistant for a company, did the virtual assistant accurately understand and address your needs or concerns?",How easy or difficult do you find it to communicate with a virtual assistant when calling a company?,Can you please explain what parts of the experience make it difficult?,Can you please explain what parts of the experience make it easy?,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Clarity of instructions,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ease of navigation,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Speed of response,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Accuracy of information,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ability to reach a live agent,How comfortable are you with virtual assistants that capture your information?,Can you please explain what makes you feel that way?,At what point during the conversation with the voice assistant would you prefer to speak to a live agent?,How would you rate your comfort level with an automated system handling the following tasks? - Password reset,How would you rate your comfort level with an automated system handling the following tasks? - Real-time account balance,"How would you rate your comfort level with an automated system handling the following tasks? - Account information (Direct deposit setup, routing information)",How would you rate your comfort level with an automated system handling the following tasks? - Recently cleared checks,How would you rate your comfort level with an automated system handling the following tasks? - Physical Check reorder,How would you rate your comfort level with an automated system handling the following tasks? - Stop payment on a check,How would you rate your comfort level with an automated system handling the following tasks? - Withdrawal activity,How would you rate your comfort level with an automated system handling the following tasks? - Deposit activity,How would you rate your comfort level with an automated system handling the following tasks? - Credit card payment,"How would you rate your comfort level with an automated system handling the following tasks? - Rate & Yields (Dividend interest payments, fund yield etc)",How would you rate your comfort level with an automated system handling the following tasks? - Product features and benefits,How would you rate your comfort level with an automated system handling the following tasks? - Mortgage Inquiry,"Imagine that you need to reset your password.
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your password is reset).

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need to check your account balance. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie you are told your account balance). 

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need assistance navigating the company's home page. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your questions or concerns about the home page are answered). 

Ideally, how do you envision this interaction playing out with an voice assistant?"
R_3QMoyd9Tkezbetz,65,Female,"$1,000,000 - $5,000,000",Somewhat uncomfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Extremely difficult,too much technology,,2,3,4,5,1,Extremely uncomfortable,Lack of privacy,Immediately,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Neutral,Neutral,Neutral,I would try once,I would try once,rather talk to a human
R_C1y3QeNKVl6uF7r,35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a year,To resolve an issue with a product or service,,Prefer a voice assistant but may speak to a live agent,Poor,Kind of,Somewhat easy,,It o my has a set amount of commands that Kyle can do so as long as it is properly programmed it can do the job better the a human,2,3,4,1,5,Somewhat comfortable,,After trying the automated system once,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Ask it tells me what the new password needs to have and it’s done,Call in follow prompts it gives me the balance ,Call in ask question the assistant gives me the advice after a few probing questions.
R_2xylbMxxX4NuT8b,65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Neutral,,,3,1,4,5,2,Somewhat uncomfortable,"i do not have a good experience using virtual assistants because i only call when the issues are a bit compilated. Since they don't understand most often, i don't trust the system either.",After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Neutral,walking me through the steps and verifying that i am doing it right,"after providing account info, it would tell me the balance",i could ask everbally and it would answer me directly 
R_tFXAZEJgSnxRcSR,65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Terrible,No,Extremely difficult,My inquiry never resolves my question,,4,5,3,2,1,Extremely uncomfortable,Information very seldom asks my inquiry,Immediately,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Neutral,Comfortable,sometimes works,should be relatively easy and accurate,maybe work and maynot
R_sZGZMUI0wnYxIB3,45-54,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Somewhat difficult,Usually I just need to speak with an actual person,,5,4,2,3,1,Somewhat uncomfortable,I’d rather give that information to a human,Immediately,Neutral,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Not Comfortable,Voice assistant changes the password,Press ONE selection to find out,There’s no way a voice assistant could navigate this
R_5ncpYvayImaKPWV,65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a month,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Good,No,Somewhat difficult,Not understanding me,,4,5,2,3,1,Extremely comfortable,,After trying the automated system once,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Not Comfortable,Easy task,Easy task ,May or may not be good
R_3g5TKqDq7Z2HRab,35-44,Female,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To ask a question about a product or service,,Prefer a live agent but may speak to an voice assistant,Delightful,Yes,Extremely easy,,Good way,2,1,4,5,3,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Easy access,Good accuracy ,Information 
R_3EhxOdoUi7CHxVN,55-65,Female,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,The fact that they don’t “hear” you first of all. Not always given the appropriate option to be addressed. It’s just annoying ,,3,4,5,2,1,Somewhat uncomfortable,I would rather speak to a live agent ,Immediately,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Given options to choose from to make the necessary change. Then given confirmation of changes ,Given options to choose from to obtain the information requested. Then choosing the appropriate option ,Given options to choose from. Listening to the appropriate choice
R_vCXdY5BdTjdFXOh,55-65,Female,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a month,To get help with a technical issue or difficulty,,Always prefer a live agent,Average,No,Somewhat easy,,I find that usually there are a lot of options to get you to the correct department.  My frustration comes after that …when they don’t have an option for my specific issue. ,2,4,5,3,1,Somewhat uncomfortable,I am not sure if it’s being recorded and who has access to it. ,After trying the automated system once,Neutral,Comfortable,Neutral,Comfortable,Neutral,Not Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,I would expect an option during the beginning of my call that will allow me to select password reset.  Once there - I’d like for the voice assistant have me verbally spell the password and they repeat it back.  However for longer passwords this will be frustrating.  At the end I would expect an option to hit a key if repeated password is correct.  Then validation and a follow up text or email confirming change is now ready. ,For this one - I’m okay with selecting the option for the voice assistant to tell me the account balance.  Then an option for any other questions ,I would expect the options to list the most frequently asked questions regarding the home page - ideally if they can understand what you are asking that would be very helpful 
R_2CEA1BHUuT9R45r,55-65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Average,Kind of,Somewhat difficult,They do not always understand ,,4,5,3,2,1,Extremely uncomfortable,Security ,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Not Comfortable,Not Comfortable,Comfortable,Not Comfortable,Neutral,Not Comfortable,Send a link to resst,Via the banks web site,Uncertain 
R_3hiQwe8y7sE2Il7,25-34,Male,"$5,000,000 - $10,000,000",Somewhat comfortable,Social media messaging,,A few times a month,To ask a question about a product or service,,Always prefer a live agent,Good,Yes,Somewhat easy,,just seeing what goin on,3,5,1,4,2,Somewhat comfortable,,After multiple attempts with the automated system,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,asking to change the password,ask to check balance,asking look for google then telling the company
R_2DTzYbMcwKm10r9,65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Good,Kind of,Extremely difficult,Oftentimes doesn't understand or gives wrong answers ,,1,3,4,2,5,Neutral,,After trying the automated system once,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Ask for password reset and then receive a temporarily password ,Ask for balance and get the numbers ,Ask a question and receive the correct answer 
R_2bMhhBrlNbxh1eN,25-34,Female,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To get help with a technical issue or difficulty,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Somewhat difficult,The explanation of the problem,,1,2,4,3,5,Somewhat comfortable,,After multiple attempts with the automated system,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,With a menu of options ,Better explanation of detail,Better attented 
R_yWHunnTaRkwU5H3,25-34,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Somewhat easy,,Pick up the kids and then go to see the ,5,1,2,3,4,Somewhat comfortable,,Only if the automated system cannot help me,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Ayomide ,1000,W I don’t see how it 
R_2mf3OBmukBvUmQ1,35-44,Male,"$1,000,000 - $5,000,000",Somewhat uncomfortable,Social media messaging,,A few times a year,To get help with a technical issue or difficulty,,Prefer a voice assistant but may speak to a live agent,Average,Kind of,Somewhat difficult,The workload and skills necessary ,,1,4,3,5,2,Somewhat comfortable,,After trying the automated system once,Neutral,Comfortable,Not Comfortable,Neutral,Comfortable,Not Comfortable,Not Comfortable,Comfortable,Neutral,Neutral,Comfortable,Not Comfortable,I expect the instructions to be clearly set,It being an easier process,Very simple and understandable 
